Institution_abbreviation,Institution_name,City,Country,ROR,Alternatively,May_contain
NMS,National Museums of Scotland,Edinburgh,Scotland,https://ror.org/00pxfwe85,,
NMT,National Museum of Tanzania,Dar es Salam,Tanzania,,,
NMV,Museum of Victoria,Melbourne,Australia,https://ror.org/04mf3mq37,,
NNM,Naturalis Museum,Leiden,Netherlands,,,
NRM,Naturhistoriska Riksmuseet,Stockholm,Sweden,https://ror.org/05k323c76,NR,
NSM,Nova Scotia Museum of Science,Halifax,Nova Scotia,,,
OMNH,Sam Noble Oklahoma Museum of Natural History,Norman,United States,https://ror.org/02aqsxs83,OUSM,
OSUOM,"Orton Museum, Ohio State University",Columbus,United States,https://ror.org/00rs6vg23,,
OUSM,"University of Oklahoma, Stovall Museum",Norman,United States,https://ror.org/02aqsxs83,,"should be part of OMNH collections, but numbering system is completely different"
PIM,Paläiontologisches Institut Mainz,Mainz,Germany,,,
PIMUZ,Paläontologisches Institut und Museum der Universität Zurich,Zürich,Switzerland,,,
PIN,"Paleontological Institute, Russian Academy of Sciences",Moscow,Russia,https://ror.org/015y4fr56,,
PIU,Palaeontological Institute of the University of Uppsala,Uppsala,Sweden,,,"should be part of PMU collections, but numbering system is completely different"
PMU,"Palaeontological Collections, Museum of Evolution, Uppsala University",Uppsala,Sweden,,PIU,
POL-F,"Pollichia, Pfalzmuseum für Naturkunde",Bad Dürkheim,Germany,,,
PPHM,Panhandle Plains Historical Museum,Canyon,United States,,WT,
PSUL,Paläontologische Sammlung der Universität Leipzig,Leipzig,Germany,https://ror.org/03s7gtk40,KMU,
PU-ANF,"Departamento de Paleontología, Universidad Complutense",Madrid,Spain,https://ror.org/02p0gd045,,
PVL,Sección Paleozoología (vertebrados) del Instituto Miguel Lillo de la Universidád Nacionál de Tucumán,San Miguel de Tucumán,Argentina,,,
QM,Queensland Museum,Brisbane,Australia,https://ror.org/035zntx80,,
RC,"Rubidge Collection, Wellwood",Graaff-Reinet,South Africa,,,
RE,Krupp collection at Essen,Essen,Germany,,,
RHM,Rhinopolis Associative Museum,Gannat,France,,,
RM,"Redpath Museum, McGill University",Montreal,Canada,https://ror.org/01pxwe438,,
RMZ,unknown,unknown,Russia,,possibly related to or subsumed into SGU (also given as SSU),
ROM,Royal Ontario Museum,Toronto,Canada,https://ror.org/00vcj2z66,,VP (Vertebrate Paleontology)
SAM,South Australian Museum,Adelaide,Australia,,,"only used for one specimen (SAM P42375 [Pledge, 2013])"
SAM,Iziko South African Museum,Cape Town,South Africa,https://ror.org/03xzjnp53,RS designation used for field localities/numbers,PK
SAS,Museum Schloß Wilhelmsburg Schmalkalden,Schmalkalden,Germany,,,
SDM,former Dreyer collection (now part of GPIM),Mainz,Germany,,,
SGED,Sammlung des Sächsischen Geologischen Landesamtes,Leipzig,Germany,,now at MMG,
SGM,Collection B. Graumann,Mehlingen,Germany,,,
SGP,"Sino-German Project collection, currently housed at the Institut und Museum ftir Geologic und Paläontologie, University of Tübingen",Tübingen,Germany,,,
SGU,Saratov State University,Saratov,Russia,https://ror.org/05jcsqx24,SSU,
SKO,Krätschmer collection,Odernheim,Germany,,,
SMF,Senckenberg Research Institute and Natural History Museum Frankfurt,Frankfurt,Germany,,"NSMF, SSF",
SMM,Science Museum of Minnesota,St. Paul,United States,https://ror.org/02nyfes25,,
SMNK,Staatliches Museum für Naturkunde Karlsruhe,Karlsruhe,Germany,https://ror.org/035hn3t86,,
SMNS,Staatliches Museum für Naturkunde Stuttgart,Stuttgart,Germany,https://ror.org/05k35b119,,
SMP,State Museum of Pennsylvania,Harrisburg,USA,,,
SMU,"Shuler Museum of Paleontology, Southern Methodist University",Dallas,United States,https://ror.org/042tdr378,,
SOIKM,Alabin Samara Regional Historical Museum,Samara,Russia,,,
SRK,collection of Manfred Raisch,Kaiserslautern,Germany,,,
SSN,collection of Arnulf + Harald Stapf in the Paläontologisches Museum Nierstein,Nierstein,Germany,,,
STIPB,"Goldfuß Museum & Steinmann Institute, University of Bonn",Bonn,Germany,https://ror.org/041nas322,"GMB, GPIT, IPB, PIB",several of the other designations remain in usage in recent years; this one is selected based on the usage by authors affiliated with this institution
SWC,Sammlung Watson in Universität Cambridge,Cambridge,United Kingdom,,,it is probable that this collection has been folded into an existing repository and renumbered
TCD,"Geological Museum, Trinity College",Dublin,Ireland,https://ror.org/02tyrky19,,
TF,Thai Fossil,unknown,Thailand,,,
TM,Transvaal Museum,Pretoria,South Africa,,,
TMAG,Tasmanian Museum and Art Gallery,Hobart,Australia,,,
TMM,Texas Memorial Museum,Austin,United States,https://ror.org/00hj54h04,,
TsNIGR,Chernyshev Central Museum of Geological Exploration,St. Petersburg,Russia,,"CCMGE, CNIGR",
TTU,Texas Tech University Museum,Lubbock,United States,https://ror.org/0405mnx93,MOTT,
UA,Universite d’Antananarivo,Antananarivo,Madagascar,https://ror.org/02w4gwv87,,
uam,Faculty of Geographical and Geological Sciences Museum of Earth at the Adam Mickiewicz University,Poznán,Poland,https://ror.org/04g6bbq64,,
UCLA,"University of California, Los Angeles",Los Angeles,United States,https://ror.org/046rm7j60,,VP (Vertebrate Paleontology)
UCMP,University of California Museum of Paleontology,Berkeley,United States,https://ror.org/01an7q238,,
UFPR,Universidade Federal do Paraná,Curitiba,Brazil,https://ror.org/05syd6y78,,
UFRGS,Universidade Federal do Rio Grande do Sul,Porto Alegre,Brazil,https://ror.org/041yk2d64,,
UFSM,Universidade Federal de Santa Maria,Santa Maria,Brazil,https://ror.org/01b78mz79,,
UGKU,Urweltmuseum GEOSKOP,Pfalz,Germany,,,
UHC-P,"Ulrich Heidtke Collection, Paläontologische Sammlung",Niederkirchen,Germany,,,
UJ,Friedrich-Schiller Universität zu Jena,Jena,Germany,https://ror.org/05qpz1x62,,
ULBRA,Universidade Luterana do Brasil,Cachoeira do Sul,Brazil,,,
UM,Université Montpellier 2,Montpellier,France,,,
UMMP,University of Michigan Museum of Paleontology,Ann Arbor,United States,https://ror.org/00jmfr291,,
UMO-BSP-BT,Urwelt-Museum Oberfranken,Bayreuth,Germany,,,
UMUT,University Museum (University of Tokyo),Tokyo,Japan,https://ror.org/04r8tsy16,,
UMVT,Museu de História da Vida e da Terra d Universidade do Valedo Rio dos Sinos,São Leopoldo,Brazil,https://ror.org/05ctmmy43,,
UNIPAMPA,"Laboratório de Paleobiologia, Universidade Federal do Pampa",São Gabriel,Brazil,,,
UNM,University of New Mexico,Albuquerque,United States,https://ror.org/05fs6jp91,,
UO,Uniwersytet Opolski,Opole,Poland,,,field number designation
UOBS,"Biosystematics/Palaeobiology, University of Opole",Opole,Poland,https://ror.org/04gbpnx96,UOPB,old designation (still in usage for historically assigned material)
UOPB,"Biosystematics/Palaeobiology, University of Opole",Opole,Poland,https://ror.org/04gbpnx96,UOBS,new designation
USNM,"National Museum of Natural History, Smithsonian Institution",Washington D.C.,United States,https://ror.org/03wkt5x30,,
UT-BEG,"Bureau of Economic Geology, University of Texas, Austin",Austin,United States,https://ror.org/00hj54h04,,now part of TMM
UTGD,"Department of Geology, University of Tasmania",Hobart,New Zealand,https://ror.org/01nfmeh72,,
UWBM,University of Washington Burke Museum,Seattle,United States,https://ror.org/015ypce77,,VP (Vertebrate Paleontology)
VNIGRI,All-Russia Research Institute of Geological Prospecting,unknown,Russia,,,
WAM,Western Australian Museum,Perth,Australia,https://ror.org/01a3yyc70,,
WARMS,Warwick County Museum,Warwick,England,,,
WSUVP,Wayne State University Vertebrate Paleontology Collection,Detroit,United States,,WSUPC,
WT,Panhandle Plains Historical Museum (West Texas),Canyon,United States,,PPHM,
YaGPU,Ushinsky Teachers University of Yaroslavl,Yaroslavl,Russia,https://ror.org/02n3d5p55,,
YPM,"Peabody Museum of Natural History, Yale University",New Haven,United States,https://ror.org/03db5ay71,,PU designation indicates formerly at Princeton University
ZAR,"Zarzaïtine, Musuem of the Faculty of Earth Sciences, Geography and Regional Land Settlement, USTHB",Algiers,Algeria,,,
ZDM,Zigong Museum,Chengdu,China,,,
ZIN,"Zoological Institute, Russian Academy of Sciences",St. Petersburg,Russia,https://ror.org/05snbjh64,,PH designation for 'Paleoherpetology'
ZMP,Zapodocescke Museum,Plzen,Czech Republic,,ZP,
ZPAL,Instytut Paleobiologii im. R. Kozłowskiego Polskiej Akademii Nauk,Warsaw,Poland,https://ror.org/04xk7k966,,
ZPUW,"Zaklad Paleozoologii, Instyutut Zoologiczny, Universytet Wrocławski",Wroclaw,Poland,https://ror.org/00yae6e25,,
