Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade 4,Superfamily,Clade 5,Family,Subfamily,Lowest clade,Genus,Species,Taxon,Author,Year,Authority,Type_repository,Type_number,Type_specimen,Type_type,Repository_country,Type_country,Status,Notes
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,Derwentiinae,Rhytidosteidae,Deltasaurus,pustulatus,Deltasaurus pustulatus,Cosgriff,1965,Cosgriff (1965),BMR,F.21775,BMR PG/588,Holotype,Australia,Australia,Valid,
Temnospondyli,N,N,N,N/A,N/A,N/A,Dendrerpetidae,N/A,Dendrerpetidae,Dendrerpeton,acadianum,Dendrerpeton acadianum,Owen,1853,Owen (1853),NHMUK,R.4158,NHMUK R.4158,Lectotype,UK,Canada,Valid,
Temnospondyli,N,N,N,N/A,N/A,N/A,Dendrerpetidae,N/A,Dendrerpetidae,Dendrerpeton,confusum,Dendrerpeton confusum,Milner,1996,Milner (1996),RM,2.1185,RM 2.1185,Holotype,Canada,Canada,Valid,"part/counterpart, with counterpart at NHMUK (UK)"
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dendrerpeton,deprivatum,Dendrerpeton deprivatum,Frič,1885a,Frič (1885a),NMP,525,NMP 525,Holotype,Czech Republic,Czech Republic,Junior synonym,
Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Dendrerpeton,foveolatum,Dendrerpeton foveolatum,Frič,1885b,Frič (1885b),NMP,526,NMP 526,Lectotype,Czech Republic,Czech Republic,Nomen dubium,
Temnospondyli,N,N,N,N/A,N/A,N/A,Dendrerpetidae,N/A,Dendrerpetidae,Dendrerpeton,helogenes,Dendrerpeton helogenes,Steen,1934,Steen (1934),RM,2.1188,RM 2.1188,Holotype,Canada,Canada,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dendrerpeton,oweni,Dendrerpeton oweni,Dawson,1863,Dawson (1863),RM,2.1121,RM 2.1121,Type (unspecified),Canada,Canada,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dendrerpeton,pyriticum,Dendrerpeton pyriticum,Frič,1885a,Frič (1885a),NMP,517,NMP 517,Holotype,Czech Republic,Czech Republic,Junior synonym,
Temnospondyli,N,N,N,N/A,N/A,N/A,Dendrerpetidae,N/A,Dendrerpetidae,Dendrerpeton,rugosum,Dendrerpeton rugosum,Huxley,1867,Huxley (1867),TCD,T84,TCD T84,Holotype,UK,UK,Valid,formerly NMING F14686
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dendryazousa,dikella,Dendryazousa dikella,Steen,1934,Steen (1934),NHMUK,R.439,NHMUK R.439,Lectotype,UK,Canada,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,Derwentiinae,Rhytidosteidae,Derwentia,warreni,Derwentia warreni,Cosgriff,1974,Cosgriff (1974),UTGD,87784,UTGD 87784,Holotype,Australia,Australia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Diadetognathus,varvicensis,Diadetognathus varvicensis,Miall,1874,Miall (1874),WARMS,Gz.974,WARMS Gz.974,Lectotype,UK,UK,Nomen dubium,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Diceratosaurus,laevis,Diceratosaurus laevis,Steen,1931,Steen (1931),AMNH,FARB 6923,AMNH FARB 6922,Holotype,USA,USA,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Diceratosaurus,robustus,Diceratosaurus robustus,Moodie,1909a,Moodie (1909a),AMNH,FARB 6929,AMNH FARB 6928,Holotype,USA,USA,Junior synonym,
Temnospondyli,Rhachitomi,Trematosauria,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Dictyocephalus,elegans,Dictyocephalus elegans,Leidy,1856,Leidy (1856),AMNH,FARB 5661,AMNH FARB 4895,Holotype,USA,USA,Nomen dubium,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Diploseira,angusta,Diploseira angusta,Carroll,1964,Carroll (1964),MCZ,1695,MCZ 1695,Holotype,USA,USA,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dissorophus,angustus,Dissorophus angustus,Carroll,1964,Carroll (1964),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,"Dilkes erected the novel genus Diploseira for the type and only specimen of ""Dissorophus angustus""; the gender of the species name was also adjusted"
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dissorophus,articulatus,Dissorophus articulatus,Cope,1896,Cope (1896),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination?,holotype of D. multicinctus was described as D. articulatus without comment
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Dissorophus,multicinctus,Dissorophus multicinctus,Cope,1895,Cope (1895),AMNH,FARB 4593,AMNH FARB 4590,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Doleserpeton,annectens,Doleserpeton annectens,Bolt,1969,Bolt (1969),FMNH,1308,FMNH 321/9/1,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Dutuitosaurus,ouazzoui,Dutuitosaurus ouazzoui,Dutuit,1976,Dutuit (1976),MNHN,XIII/18/66,MNHN XIII/18/66,Lectotype,France,Morocco,Valid,
Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Dvinosauridae,N/A,Dvinosauridae,Dvinosaurus,campbelli,Dvinosaurus campbelli,Gubin,2004,Gubin (2004),PIN,4818/426,PIN 4818/426,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Dvinosauridae,N/A,Dvinosauridae,Dvinosaurus,egregius,Dvinosaurus egregius,Shishkin,1968,Shishkin (1968),PIN,1100/23,PIN 1100/23,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Dvinosauridae,N/A,Dvinosauridae,Dvinosaurus,gubini,Dvinosaurus gubini,"Uliakhin, Novikov",2024,"Uliakhin, Novikov (2024)",PIN,5388/445,PIN 5388/445,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Dvinosauridae,N/A,Dvinosauridae,Dvinosaurus,primus,Dvinosaurus primus,Amalitzky,1921,Amalitzky (1921),PIN,2005/39,PIN 2005/39,Lectotype,Russia,Russia,Valid,formerly Am/39
Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Dvinosauridae,N/A,Dvinosauridae,Dvinosaurus,purlensis,Dvinosaurus purlensis,Shishkin,1968,Shishkin (1968),PIN,1538/18,PIN 1538/18,Holotype,Russia,Russia,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dvinosaurus,secundus,Dvinosaurus secundus,Amalitzky,1921,Amalitzky (1921),PIN,2005/40,PIN 2005/40,Holotype,Russia,Russia,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Dvinosaurus,tertius,Dvinosaurus tertius,Amalitzky,1921,Amalitzky (1921),PIN,2005/41,PIN 2005/41,Holotype,Russia,Russia,Junior synonym,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Ecolsonia,cutlerensis,Ecolsonia cutlerensis,Vaughn,1969b,Vaughn (1969b),UCLA,VP 1734,UCLA VP 1734,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Edingerella,madagascariensis,Edingerella madagascariensis,Lehman,1961,Lehman (1961),MNHN,MAE.3003,MNHN MAE.3003,Holotype,France,Madagascar,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Edopoidea,N/A,Edopidae,N/A,Edopidae,Edops,craigi,Edops craigi,Romer,1936,Romer (1936),FMNH,UR 336,FMNH UR 279,Syntype*,USA,USA,Valid,second syntype is MCZ 1201
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Eimerisaurus,graumanni,Eimerisaurus graumanni,Boy,1980,Boy (1980),PIM,N 892,PIM-N 892,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Eimerisaurus,guembeli,Eimerisaurus guembeli,Reis,1913,Reis (1913),NHMM,PW 2001,NHMM PW 2001,Holotype,Germany,Germany,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eobrachyops,towendae,Eobrachyops towendae,Watson,1956,Watson (1956),AMNH,FARB 2455,AMNH FARB 24419,Holotype,USA,USA,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Heylerosaurinae,Cyclotosauridae,Eocyclotosaurus,appetolatus,Eocyclotosaurus appetolatus,"Rinehart, Lucas, Schoch",2015,"Rinehart, Lucas, Schoch (2015)",NMMNH,P-64166,NMMNH P-64166,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Heylerosaurinae,Cyclotosauridae,Eocyclotosaurus,lehmani,Eocyclotosaurus lehmani,Heyler,1969,Heyler (1969),MNHN,uncatalogued,MNHN uncatalogued,Holotype,France,France,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Heylerosaurinae,Capitosauroidea,Eocyclotosaurus,papilio,Eocyclotosaurus papilio,Wepfer,1923b,Wepfer (1923b),GIF?,uncatalogued,GIF? 1,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Heylerosaurinae,Cyclotosauridae,Eocyclotosaurus,wellesi,Eocyclotosaurus wellesi,Schoch,2000,Schoch (2000),UCMP,42841,UCMP 42841,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Heylerosaurinae,Cyclotosauridae,Eocyclotosaurus,woschmidti,Eocyclotosaurus woschmidti,Ortlam,1970,Ortlam (1970),SMNS,51562,SMNS 51562,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Lydekkerinidae,N/A,Lydekkerinidae,Eolydekkerina,magna,Eolydekkerina magna,"Shishkin, Rubidge, Kitching",1996,"Shishkin, Rubidge, Kitching (1996)",BP,1/0579,BP/1/F981,Holotype,South Africa,South Africa,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,Eoscopus,lockardi,Eoscopus lockardi,Daly,1994,Daly (1994),KUVP,80408,KUVP 80408,Holotype,USA,USA,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Epicordylus,erythroliticus,Epicordylus erythroliticus,Cope,1878,Cope (1878),AMNH,FARB 4280,AMNH FARB 4205,Holotype,USA,USA,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Erpetosaurus,acutirostris,Erpetosaurus acutirostris,Moodie,1909b,Moodie (1909b),AMNH,FARB 6924,AMNH FARB 6923,Holotype,USA,USA,Junior synonym,
Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,Trimerorhachidae,N/A,Trimerorhachidae,Erpetosaurus,radiatus,Erpetosaurus radiatus,Cope,1874,Cope (1874),AMNH,FARB 6922,AMNH FARB 6919,Holotype,USA,USA,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Erpetosaurus,tuberculatus,Erpetosaurus tuberculatus,Moodie,1909b,Moodie (1909b),AMNH,FARB 6952,AMNH FARB 6946,Holotype,USA,USA,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eryops,africanus,Eryops africanus,Lydekker,1890a,Lydekker (1890a),NHMUK,R.466,NHMUK R.466,Holotype,UK,South Africa,Junior synonym; outdated combination,Lydekker published the previously published type of Eryops oweni as the type of this species
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eryops,anatinus,Eryops anatinus,Broom,1913,Broom (1913),AMNH,FARB 4310,AMNH FARB 4309,Holotype,USA,USA,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eryops,ferricolus,Eryops ferricolus,,, (),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,grandis,Eryops grandis,Marsh,1878,Marsh (1878),MCZ,2731,MCZ 2731,Holotype,USA,USA,Valid,formerly YPM
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eryops,latus,Eryops latus,Case,1903,Case (1903),FMNH,UC 182,FMNH UC 1519,Holotype,USA,USA,Junior synonym,
Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,Cope,1878,Cope (1878),AMNH,FARB 4189,AMNH FARB 4006,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhinesuchidae,N/A,Rhinesuchidae,Eryops,oweni,Eryops oweni,Lydekker,1890a,Lydekker (1890a),NHMUK,R.466,NHMUK R.466,Holotype,UK,South Africa,Nomen dubium,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eryops,reticulatus,Eryops reticulatus,Cope,1881,Cope (1881),AMNH,FARB 4786,AMNH FARB 4785,Holotype,USA,USA,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eryops,willistoni,Eryops willistoni,Moodie,1911,Moodie (1911),KUVP,348,KUVP 348,Holotype,USA,USA,Junior synonym,"note Schoch & Milner (2014) used a cf. designation to species level, but previous workers have made this synonymy"
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Eryosuchidae,N/A,Eryosuchidae,Eryosuchus,antiquus,Eryosuchus antiquus,Ochev,1966,Ochev (1966),PIN,104/3515,PIN 104/3515,Holotype,Russia,Russia,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Eryosuchidae,N/A,Eryosuchidae,Eryosuchus,garjainovi,Eryosuchus garjainovi,Ochev,1966,Ochev (1966),PIN,104/3521,PIN 104/3521,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Eryosuchidae,N/A,Eryosuchidae,Eryosuchus,tverdochlebovi,Eryosuchus tverdochlebovi,Ochev,1966,Ochev (1966),PIN,104/3090,PIN 104/3090,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Erythrobatrachus,noonkanbahensis,Erythrobatrachus noonkanbahensis,"Cosgriff, Garbutt",1972,"Cosgriff, Garbutt (1972)",WAM,62.1.46,WAM 62.1.46,Holotype,Australia,Australia,Valid,
Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Euchirosaurus,rochei,Euchirosaurus rochei,Gaudry,1879,Gaudry (1879),MNHN,1879-6,MNHN 1879-6,Holotype,France,France,Nomen dubium,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eueplor,browni,Eueplor browni,"Colbert, Imbrie",1956,"Colbert, Imbrie (1956)",n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,Rhachitomi,Trematosauria,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Eueplor,durus,Eueplor durus,Cope,1868,Cope (1868),AMNH,FARB 3927,AMNH FARB 3029,Holotype,USA,USA,Nomen dubium,
Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,N/A,N/A,Dvinosauria,Eugyrinus,wildi,Eugyrinus wildi,Woodward,1891,Woodward (1891),MANCH,W.1222,MANCH W.1222,Holotype,UK,UK,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,N/A,Branchiosauridae,Eumicrerpeton,parvum,Eumicrerpeton parvum,Moodie,1910,Moodie (1910),YPM,VP 000803,YPM VP 000803,Holotype,USA,USA,Disputed (species),"at least some of the specimens referred to this taxon are regarded as either specimens of Amphibamus grandiceps or as indeterminate larvae (e.g., Milner, 1982; Boy, 1987; Schoch & Milner, 2014; Schoch, 2022)"
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eupelor,fraasi fraasi,Eupelor fraasi fraasi,"Colbert, Imbrie",1956,"Colbert, Imbrie (1956)",n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Eupelor,fraasi jonesi,Eupelor fraasi jonesi,"Colbert, Imbrie",1956,"Colbert, Imbrie (1956)",n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Mastodonsauridae,N/A,Mastodonsauridae,Eurycervix,postumus,Eurycervix postumus,von Huene,1902,von Huene (1902),unknown,unknown,unknown,Type (unspecified),unknown,Germany,Nomen dubium,information unknown from literature available to me
Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,N/A,N/A,Rhachitomi,Fayella,chickashaensis,Fayella chickashaensis,Olson,1965a,Olson (1965a),FMNH,UR 1004,FMNH UR 1002,Holotype,USA,USA,Nomen dubium,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Fedexia,striegeli,Fedexia striegeli,"Berman, Henrici, Brezinski, Kollar",2010,"Berman, Henrici, Brezinski, Kollar (2010)",CM,76867,CM 41705,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Ferganobatrachus,riabinini,Ferganobatrachus riabinini,Nessov,1990,Nessov (1990),TsNIGR,6/12217,TsNIGR 6/12217,Holotype,Russia,Kyrgyzstan,"Disputed (genus, species)","most workers do not consider the material sufficient to be diagnosed (but see Averianov et al., 2008, for usage)"
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gaudryia,latistoma,Gaudryia latistoma,Frič,1885a,Frič (1885a),unknown,unknown,unknown,Holotype,unknown,Czech Republic,Junior synonym,number and location of type unknown; cast is NMP 544
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,Georgenthalia,clavinasica,Georgenthalia clavinasica,"Anderson, Henrici, Sumida, Martens, Berman",2008,"Anderson, Henrici, Sumida, Martens, Berman (2008)",MNG,11135,MNG 11135,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,Gerobatrachus,hottoni,Gerobatrachus hottoni,"Anderson, Reisz, Scott, Fröbisch, Sumida",2008,"Anderson, Reisz, Scott, Fröbisch, Sumida (2008)",USNM,40971,USNM 40971,Holotype,USA,USA,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gerrothorax,franconicus,Gerrothorax franconicus,Kuhn,1932,Kuhn (1932),unknown,unknown,unknown,Holotype,unknown,Germany,Junior synonym,type purportedly destroyed
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Plagiosauridae,Plagiosaurinae,Plagiosauridae,Gerrothorax,pulcherrimus,Gerrothorax pulcherrimus,Fraas,1913,Fraas (1913),SMNS,12592,SMNS 12592,Holotype,Germany,Germany,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Gerrothorax,rhaeticus,Gerrothorax rhaeticus,Nilsson,1934,Nilsson (1934),LU,3176T,LU 3176T,Holotype,Sweden,Sweden,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,,N/A,N/A,N/A,Sclerocephalidae,N/A,Sclerocephalidae,Glanochthon,angusta,Glanochthon angusta,"Schoch, Witzmann",2009b,"Schoch, Witzmann (2009b)",GPIM,N 1217,GPIM-N 1203,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,,N/A,N/A,N/A,Sclerocephalidae,N/A,Sclerocephalidae,Glanochthon,latirostre,Glanochthon latirostre,Jordan,1849,Jordan (1849),GPIB,4,GPIB-4,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,,N/A,N/A,N/A,Sclerocephalidae,N/A,Sclerocephalidae,Glanochthon,lellbachae,Glanochthon lellbachae,Krätschmer,2006,Krätschmer (2006),NHMM,2006/14,NHMM 2006/14,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Glaukerpeton,avinoffi,Glaukerpeton avinoffi,Romer,1952,Romer (1952),CM,8539,CM 76867,Holotype,USA,USA,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Glyptognathus,fragilis,Glyptognathus fragilis,Lydekker,1882,Lydekker (1882),GSI,4290,GSI 2257,Holotype,India,india,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Gobiops,desertus,Gobiops desertus,Shishkin,1991,Shishkin (1991),PIN,4174/102,PIN 4174/102,Holotype,Russia,Mongolia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhinesuchidae,N/A,Rhinesuchidae,Gondwanasaurus,bijoriensis,Gondwanasaurus bijoriensis,Lydekker,1885,Lydekker (1885),GSI,2202,GSI 2135,Holotype,India,india,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Gonioglyptus,huxleyi,Gonioglyptus huxleyi,Lydekker,1882,Lydekker (1882),GSI,4297,GSI 4290,Holotype,India,India,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Gonioglyptus,longirostris,Gonioglyptus longirostris,Huxley,1865,Huxley (1865),GSI,2135,GSI 18071,Holotype,India,India,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Brachyopidae,N/A,Brachyopidae,Hadrokkosaurus,bradyi,Hadrokkosaurus bradyi,Welles,1957,Welles (1957),UCMP,36199,UCMP 36199,Holotype,USA,USA,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hemprichisaurus,keuperinus,Hemprichisaurus keuperinus,Jaekel,1914,Jaekel (1914),unknown,unknown,unknown,Type (unspecified),Germany,Germany,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Heptasaurus,cappelensis,Heptasaurus cappelensis,Wepfer,1923,Wepfer (1923),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hercynosaurus,carinidens,Hercynosaurus carinidens,Jaekel,1914,Jaekel (1914),MB,"Am.570, 572, 573, 577","MB Am.570, 572, 573, 577",Syntypes,Germany,Germany,Junior synonym,
Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Hesperoherpeton,garnettense,Hesperoherpeton garnettense,"Eaton, Stewart",1960,Peabody (1958),KUVP,9976,KUVP 9976,Holotype,USA,USA,Nomen dubium,the only referred specimen was referred to Trematopidae indet. by Milner
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,N/A,N/A,N/A,N/A,Capitosauria,Huangfuchuansuchus,haojiamaoensis,Huangfuchuansuchus haojiamaoensis,"Chen, Liu",2025,"Chen, Liu (2025)",IVPP,V 31928 ,IVPP V 31928 ,Holotype,China,China,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Hylonomus,aciedentatus,Smilerpeton aciedentatum,Dawson,1860,Dawson (1860),RM,2.1125,RM 2.1125,Type (unspecified),Canada,Canada,Junior synonym,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Lonchorhynchinae,Trematosauridae,Hyperokynodon,keuperinus,Hyperokynodon keuperinus,Plieninger,1852,Plieninger (1852),SMNS,16670,SMNS 16670,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,N,N,Eryopiformes,N/A,N/A,N/A,N/A,Eryopiformes,Iberospondylus,schultzei,Iberospondylus schultzei,"Laurin, Soler-Gijón",2001,"Laurin, Soler-Gijón (2001)",PU-ANF,14,PU-ANF 14,Holotype,Spain,Spain,Valid,
Temnospondyli,Rhachitomi,Stereospondyli,Stereospondyli,N/A,Brachyopoidea,N/A,Chigutisauridae,N/A,Chigutisauridae,Icanosaurus,rectifrons,Icanosaurus rectifrons,Rusconi,1950,Rusconi (1950),MCNA,2661,MCNA 2661,Holotype,Argentina,Argentina,Nomen dubium,holotype lost
N,N,N,N,N/A,N/A,N/A,N/A,N/A,Tetrapoda,Ichthycanthus,ohiensis,Ichthycanthus ohiensis,Cope,1877,Cope (1877),AMNH,FARB 5749,AMNH FARB 5661,Holotype,USA,USA,Nomen dubium,fossiliferous component/block missing
