Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade 4,Superfamily,Clade 5,Family,Subfamily,Lowest clade,Genus,Species,Taxon,Author,Year,Authority,Type_repository,Type_number,Type_specimen,Type_type,Repository_country,Type_country,Status,Notes
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,caducus,Apateon caducus,Ammon,1889,Ammon (1889),BSP,1929 XI 120,BSP ?,Holotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,dracyiensis,Apateon dracyiensis,Boy,1972,Boy (1972),MA,425,MA 425,Holotype,France,France,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,flagrifer,Apateon flagrifer,Whittard,1930,Whittard (1930),CAMZM,T.22,CAMZM T.19,Holotype,UK,Germany,Valid,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Apateon,gracilis,Apateon gracilis,Credner,1881,Credner (1881),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,intermedius,Apateon intermedius,Werneburg,1996,Werneburg (1996),NHMS,WP656,NHMS WP656,Holotype,Germany,Germany,Disputed (genus),genus-level assignment is uncertain; see Schoch & Milner (2014)
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,kontheri,Apateon kontheri,Werneburg,1988b,Werneburg (1988b),FG,321/9/1,FG 321/8/198,Holotype,Germany,Germany,Valid,part and counterpart with HLD V.70
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,pedestris,Apateon pedestris,von Meyer,1844,von Meyer (1844),PIM,N 919,PIM-N 919,Neotype,Germany,Germany,Valid,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon,umbrosus,Apateon umbrosus,Frič,1879,Frič (1879),NMP,360,NMP 360,Lectotype,Czech Republic,Czech Republic,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Lonchorhynchinae,Trematosauridae,Aphaneramma,gavialimimus,Aphaneramma gavialimimus,"Fortuny, Gastou, Escuillé, Ranivoharimana, Steyer",2017,"Fortuny, Gastou, Escuillé, Ranivoharimana, Steyer (2017)",UA,Amb007,UA-Amb007,Holotype,Madagascar,Madagascar,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Lonchorhynchinae,Trematosauridae,Aphaneramma,kannemeyeri,Aphaneramma kannemeyeri,Broom,1909,Broom (1909),SAM-PK,1329,SAM-PK-1329,Holotype,South Africa,South Africa,Nomen dubium,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Lonchorhynchinae,Trematosauridae,Aphaneramma,kokeni,Aphaneramma kokeni,von Huene,1920,von Huene (1920),GPIT,?,GPIT ?,Holotype,Germany,Pakistan,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Lonchorhynchinae,Trematosauridae,Aphaneramma,rostratum,Aphaneramma rostratum,Woodward,1904,Woodward (1904),NHMUK,R.3180,NHMUK R.3180,Holotype,UK,Greenland,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Aquiloniferus,kochi,Aquiloniferus kochi,Säve-Söderbergh,1935,Säve-Söderbergh (1935),MGUH,At.1,MGUH At.1,Holotype,Denmark,Greenland,"Disputed (genus, species)",not current collection number; there is considerable debate in the literature over whether this is a lydekkerinid (historically placed in Luzocephalus) or a capitosaur (Aquiloniferus)
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Arachana,nigra,Arachana nigra,"Piñeiro, Ramos, Marsicano",2012,"Piñeiro, Ramos, Marsicano (2012)",FC-DPV,1369,FC-DPV 56658,Holotype,Uruguay,Uruguay,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Plagiosauridae,Plagiosterninae,Plagiosauridae,Aranetsia,improvisa,Aranetsia improvisa,"Novikov, Shishkin",1992,"Novikov, Shishkin (1992)",PIN,4371/1,PIN 4371/1,Holotype,Russia,Russia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,Derwentiinae,Rhytidosteidae,Arcadia,myriadens,Arcadia myriadens,"Warren, Black",1985,"Warren, Black (1985)",QM,F10121,QM F10121,Holotype,Australia,Australia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,N/A,N/A,Stereospondylomorpha,Archegosaurus,decheni,Archegosaurus decheni,Goldfuß,1847,Goldfuß (1847),MB,Am.116,MB.Am.116,Neotype,Germany,Germany,Valid,cast in NHMUK
Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,N/A,N/A,Stereospondylomorpha,Archegosaurus,dyscriton,Archegosaurus dyscriton,Steen,1938,Steen (1938),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Archegosaurus,kashmiriensis,Archegosaurus kashmiriensis,Tewari,1960,Tewari (1960),GSI,18017,GSI 17890,Holotype,India,India,Junior synonym,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Archegosaurus,latifrons,Archegosaurus latifrons,"Geinitz, Deichmüller",1882,"Geinitz, Deichmüller (1882)",unknown,unknown,unknown,Type (unspecified),unknown,Germany,Junior synonym,number of the type is not given in the literature available to me
Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,Sclerocephalidae,N/A,Sclerocephalidae,Archegosaurus,latirostris,Archegosaurus latirostris,Jordan,1849,Jordan (1849),n/a,n/a,n/a,n/a,n/a,n/a,Outdated combination,
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Archegosaurus,medius,Archegosaurus medius,Goldfuß,1847,Goldfuß (1847),STIPB,A 1344,STIPB A 1344,Holotype,Germany,Germany,Junior synonym,cast in NHMUK
Temnospondyli,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Archegosaurus,minor,Archegosaurus minor,Goldfuß,1847,Goldfuß (1847),unknown,unknown,unknown,Holotype,unknown,Germany,Junior synonym,cast in NHMUK
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Chigutisauridae,N/A,Chigutisauridae,Arenaerpeton,supinatus,Arenaerpeton supinatus,"Hart, Gee, Smith, McCurry",2023,"Hart, Gee, Smith, McCurry (2023)",AM,F125866,AM F.80190,Holotype,Australia,Australia,Valid,
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Arganasaurus,azerouali,Arganasaurus azerouali,Dutuit,1976,Dutuit (1976),MNHN,F.ARG 5,MNHN F.ARG 5,Holotype,France,Morocco,Valid,"may actually be lectotype (contra 'holotype' of Buffa et al., 2019, as Dutuit, 1976, did not designate holotypes for any taxa described there). This is what Hunt (1993) did; his lectotype was MNHN XV/1/65 D.1, but how this relates to the more recently appointed holotype is unclear"
Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Arganasaurus,lyazidi,Arganasaurus lyazidi,Dutuit,1976,Dutuit (1976),MNHN,ALM 205,MNHN ALM 205,Lectotype,France,Morocco,Valid,XIX/3/66 as originally published by Dutuit (1976)
Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Arkanserpeton,arcuatum,Arkanserpeton arcuatum,Lane,1932,Lane (1932),KUVP,5962,KUVP 5962,Holotype,USA,USA,Nomen dubium,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,apicalis,Aspidosaurus apicalis,Cope,1881,Cope (1881),AMNH,FARB 4785,AMNH FARB 4785,Holotype,USA,USA,Nomen dubium,
Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Aspidosaurinae,Dissorophidae,Aspidosaurus,binasser,Aspidosaurus binasser,"Berman, Lucas",2003,"Berman, Lucas (2003)",TMM,43531,43531,Holotype,USA,USA,Valid,
