Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade 4,Superfamily,Clade 5,Family,Subfamily,Lowest clade,Genus,Species,Taxon,Author,Year,Authority,Type_repository,Type_number,Type_specimen,Type_type,Repository_country,Type_country,Status,Notes
87,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Branchiosaurinae,Branchiosauridae,Branchiosaurus,darrahi,Branchiosaurus darrahi,Romer,1939,Romer (1939),MCZ,1265,MCZ 1265,Holotype,USA,USA,Nomen dubium,"provenance uncertain, may very well be Apateon from Europe (Schoch & Milner, 2014)"
88,Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Branchiosaurus,robustus,Branchiosaurus robustus,Frič,1879,Frič (1879),NMP,418,NMP 418,Holotype,Czech Republic,Czech Republic,Nomen dubium,
89,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Branchiosaurinae,Branchiosauridae,Branchiosaurus,salamandroides,Branchiosaurus salamandroides,Frič,1876,Frič (1876),NMP,332/M1167,NMP 332/M1167,Lectotype,Czech Republic,Czech Republic,Valid,
90,Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Branchiosaurus,venosus,Branchiosaurus venosus,Frič,1879,Frič (1879),NMP,413-415,NMP 413-415,Syntypes,Czech Republic,Czech Republic,Nomen dubium,
91,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,N/A,Dissorophidae,Brevidorsum,profundum,Brevidorsum profundum,Carroll,1964,Carroll (1964),MCZ,3250,MCZ 3250,Holotype,USA,USA,Valid,
92,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Broiliellus,arroyoensis,Broiliellus arroyoensis,DeMar,1967,DeMar (1967),FMNH,UR 431,FMNH UR 430,Holotype,USA,USA,Valid,
93,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Broiliellus,brevis,Broiliellus brevis,Carroll,1964,Carroll (1964),MCZ,1424,MCZ 1424,Holotype,USA,USA,Valid,
94,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Broiliellus,olsoni,Broiliellus olsoni,DeMar,1967,DeMar (1967),UT-BEG,31189.8,UT-BEG 31189.8,Holotype,USA,USA,Valid,
95,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Broiliellus,reiszi,Broiliellus reiszi,"Holmes, Berman, Anderson",2013,"Holmes, Berman, Anderson (2013)",CM,41705,CM 38025,Holotype,USA,USA,Valid,
96,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Broiliellus,texensis,Broiliellus texensis,Williston,1914,Williston (1914),FMNH,UC 684,FMNH UC 673,Lectotype,USA,USA,Valid,
97,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhinesuchidae,Australerpetinae,Rhinesuchidae,Broomistega,putterilli,Broomistega putterilli,Broom,1930,Broom (1930),TM,184,TM 184,Holotype,South Africa,South Africa,Valid,
98,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Buettnererpeton,bakeri,Buettnererpeton bakeri,Case,1931,Case (1931),UMMP,13055,UMMP 13055,Holotype,USA,USA,Valid,
99,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Buettneria,calgariensis,Buettneria calgariensis,Green,1954,Green (1954),n/a,n/a,n/a,n/a,n/a,USA,Nomen nudum,only named in doctoral thesis
100,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Bukobaja,enigmatica,Bukobaja enigmatica,Ochev,1966,Ochev (1966),PIN,104/245,PIN 104/245,Holotype,Russia,Russia,Valid,
101,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Bulgosuchus,gargantua,Bulgosuchus gargantua,Damiani,1999,Damiani (1999),AM,F.80190,AM F.47499,Holotype,Australia,Australia,Valid,
102,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Cacops,aspidephorus,Cacops aspidephorus,Williston,1910,Williston (1910),FMNH,UC 647,FMNH UC 640,Holotype,USA,USA,Valid,
103,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Cacops,morrisi,Cacops morrisi,"Reisz, Schoch, Anderson",2009,"Reisz, Schoch, Anderson (2009)",OMNH,53077,OMNH 53077,Holotype,USA,USA,Valid,
104,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Cacops,woehri,Cacops woehri,"Fröbisch, Reisz",2012,"Fröbisch, Reisz (2012)",OMNH,73216,OMNH 73216,Holotype,USA,USA,Valid,
105,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Calamops,paludosus,Calamops paludosus,Sinclair,1917,Sinclair (1917),YPM,VPPU 12302,YPM VPPU 12302,Holotype,USA,USA,Valid,
106,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,N/A,N/A,Trematosauroidea,Callistomordax,kugleri,Callistomordax kugleri,Schoch,2008a,Schoch (2008a),SMNS,82035,SMNS 82035,Holotype,Germany,Germany,Valid,
107,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Calmasuchus,acri,Calmasuchus acri,"Fortuny, Galobart, de Santisteban",2011,"Fortuny, Galobart, de Santisteban (2011)",IPS,37401 (LM-83),IPS-37401 (LM-83),Holotype,Spain,Spain,Valid,
108,Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Capetus,palustris,Capetus palustris,Steen,1938,Steen (1938),NHMUK,R.4706,NHMUK R.4706,Holotype,UK,Czech Republic,Valid,
109,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Capitosauroidea,Capitosaurus,arenaceus,Capitosaurus arenaceus,Muenster,1836,Muenster (1836),BSP,BT 14,"BSP 84, 85",Holotype,Germany,Germany,"Disputed (genus, species)",
110,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Capitosaurus,polaris,Capitosaurus polaris,Wiman,1914b,Wiman (1914b),PIU,U.120,PIU U.120,Holotype,Sweden,Norway,Nomen dubium,Kear et al. (2016) suggest it may be Cyclotosaurus sp.
111,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Capulomala,arcadiensis,Capulomala arcadiensis,"Warren, Damiani, Sengupta",2009,"Warren, Damiani, Sengupta (2009)",QM,F39706,QM F39706,Holotype,Australia,Australia,Valid,
112,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Capulomala,panchetensis,Capulomala panchetensis,"Warren, Damiani, Sengupta",2009,"Warren, Damiani, Sengupta (2009)",GSI,17886,GSI 17879,Holotype,India,India,Valid,
113,Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,Intasuchidae,N/A,Intasuchidae,Cheliderpeton,vranyi,Cheliderpeton vranyi,Frič,1877,Frič (1877),NMP,M528,NMP M528,Holotype,Czech Republic,Czech Republic,Valid,
114,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Chemnitzion,richteri,Chemnitzion richteri,"Werneburg, Witzmann, Schneider, Rößler",2022,"Werneburg, Witzmann, Schneider, Rößler (2022)",MNC,"TA0949a, b","MNC TA0949a, b",Holotype,Germany,Germany,Valid,
115,Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Chenoprosopus,milleri,Chenoprosopus milleri,Mehl,1913,Mehl (1913),FMNH,UC 670,FMNH UC 668,Holotype,USA,USA,Valid,
116,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Cherninia,denwai,Cherninia denwai,"Mukherjee, Sengupta",1998,"Mukherjee, Sengupta (1998)",ISI,A 54,ISI A 54,Holotype,India,India,Valid,
117,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Cherninia,megarhina,Cherninia megarhina,"Chernin, Cosgriff",1975,"Chernin, Cosgriff (1975)",BP,1/4223,BP/1/4004,Holotype,South Africa,Zambia,Valid,
118,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Chinlestegophis,jenkinsi,Chinlestegophis jenkinsi,"Pardo, Small, Huttenlocker",2017,"Pardo, Small, Huttenlocker (2017)",DMNH,56658,DMNH 49903,Holotype,USA,USA,Valid,
119,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Lydekkerinidae,N/A,Lydekkerinidae,Chomatobatrachus,halei,Chomatobatrachus halei,Cosgriff,1974,Cosgriff (1974),UTGD,80738,UTGD 80738,Holotype,Australia,Australia,Valid,
120,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Clamorosaurus,borealis,Clamorosaurus borealis,Gubin,1983,Gubin (1983),PIN,3950/1,PIN 3950/1,Holotype,Russia,Russia,Valid,
121,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Clamorosaurus,nocturnus,Clamorosaurus nocturnus,Gubin,1983,Gubin (1983),PIN,1582/1,PIN 1582/1,Holotype,Russia,Russia,Valid,
122,Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Cochleosaurus,bohemicus,Cochleosaurus bohemicus,Frič,1876,Frič (1876),NMP,"M540, M1268","NMP M540, M1268",Holotype,Czech Republic,Czech Republic,Valid,part/counterpart
123,Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Cochleosaurus,florensis,Cochleosaurus florensis,Rieppel,1980,Rieppel (1980),MCZ,4343,MCZ 4343,Holotype,USA,Canada,Valid,
124,Temnospondyli,Rhachitomi,Stereospondylomorpha,N,N/A,N/A,N/A,N/A,N/A,Stereospondylomorpha,Collidosuchus,tchudinovi,Collidosuchus tchudinovi,Gubin,1986,Gubin (1986),PIN,1758/334,PIN 1758/334,Holotype,Russia,Russia,Valid,
125,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Chigutisauridae,N/A,Chigutisauridae,Compsocerops,cosgriffi,Compsocerops cosgriffi,Sengupta,1995,Sengupta (1995),ISI,A 33,ISI A 33,Holotype,India,India,Valid,
126,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,Brachyopoidea,N/A,Chigutisauridae,N/A,Chigutisauridae,Compsocerops,tikiensis,Compsocerops tikiensis,"Chakravorti, Sengupta",2023,"Chakravorti, Sengupta (2023)",ISI,A 202,ISI A 202,Holotype,India,India,Valid,
127,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Conjunctio,multidens,Conjunctio multidens,Carroll,1964,Carroll (1964),FMNH,UC 673,FMNH UC 670,Holotype,USA,USA,Valid,
128,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Trematosauridae,Lonchorhynchinae,Trematosauridae,Cosgriffius,campi,Cosgriffius campi,Welles,1993,Welles (1993),UCMP,112135,UCMP 112135,Holotype,USA,USA,Valid,
129,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,N/A,N/A,N/A,N/A,Capitosauria,Cryobatrachus,kitchingi,Cryobatrachus kitchingi,"Colbert, Cosgriff",1974,"Colbert, Cosgriff (1974)",AMNH,FARB 9503,AMNH FARB 7118,Holotype,USA,Antarctica,Nomen dubium,
130,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,buechneri,Cyclotosaurus buechneri,"Witzmann, Sachs, Nyhuis",2016,"Witzmann, Sachs, Nyhuis (2016)",Namu,ES/k 36053,Namu ES/k 36053,Holotype,Germany,Germany,Valid,
131,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,ebrachensis,Cyclotosaurus ebrachensis,Kuhn,1932,Kuhn (1932),BSP,1931 X 1,BSP 1929 XI 120,Holotype,Germany,Germany,Disputed (species),"holotype originally in Munich; but now lost. Treated as ""probably junior synonym"" by Schoch & Milner (2000) but discussed as a valid taxon by more recent workers"
132,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,hemprichi,Cyclotosaurus hemprichi,Kuhn,1942,Kuhn (1942),Halberstadt Museum,uncatalogued,Halberstadt Museum V 7998,Holotype,Germany,Germany,Valid,
133,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,intermedius,Cyclotosaurus intermedius,"Sulej, Majer",2005,"Sulej, Majer (2005)",ZPAL,AbIII/1173,ZPAL AbIII/1173,Holotype,Poland,Poland,Valid,
134,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,mordax,Cyclotosaurus mordax,Fraas,1913,Fraas (1913),SMNS,13014,SMNS 13014,Holotype,Germany,Germany,Valid,
135,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,naraserluki,Cyclotosaurus naraserluki,"Marzola, Mateus, Shubin, Clemmensen",2017,"Marzola, Mateus, Shubin, Clemmensen (2017)",MGUH,VP 9522,MGUH VP 9522,Holotype,Denmark,Greenland,Valid,
136,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,posthumus,Cyclotosaurus posthumus,Fraas,1913,Fraas (1913),SMNS,12988,SMNS 12988,Holotype,Germany,Germany,Valid,
137,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Cyclotosaurus,randalli,Cyclotosaurus randalli,Welles,1947,Welles (1947),UCMP,36188,UCMP 36188,Holotype,USA,USA,Nomen dubium,
138,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Cyclotosaurinae,Cyclotosauridae,Cyclotosaurus,robustus,Cyclotosaurus robustus,"von Meyer, Plieninger",1844,"von Meyer, Plieninger (1844)",STIPB,27-1,STIPB 27-1,Holotype,Germany,Germany,Valid,
139,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Cyclotosaurus,spitzbergensis,Cyclotosaurus spitzbergensis,Wiman,1914b,Wiman (1914b),PIU,U.82,PIU U.82,Holotype,Sweden,Norway,Nomen dubium,also placed in novel genus Sassenisaurus
140,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Dasyceps,bucklandi,Dasyceps bucklandi,Lloyd,1850,Lloyd (1850),WARMS,Gz.42,WARMS Gz.42,Holotype,UK,UK,Valid,
141,Temnospondyli,Rhachitomi,N,N,N/A,N/A,N/A,Zatracheidae,N/A,Zatracheidae,Dasyceps,microphthalmus,Dasyceps microphthalmus,Cope,1896c,Cope (1896c),AMNH,FARB 4586,AMNH FARB 4577,Holotype,USA,USA,Valid,
142,Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,N/A,N/A,Dvinosauria,Dawsonerpeton,polydens,Dawsonerpeton polydens,Frič,1879,Frič (1879),NMP,419,NMP 419,Lectotype,Czech Republic,Czech Republic,Valid,
143,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Lydekkerinidae,N/A,Lydekkerinidae,Deltacephalus,whitei,Deltacephalus whitei,Swinton,1956,Swinton (1956),NHMUK,R.6695,NHMUK R.6695,Holotype,UK,Madagascar,Valid,
144,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,Derwentiinae,Rhytidosteidae,Deltasaurus,kimberleyensis,Deltasaurus kimberleyensis,Cosgriff,1965,Cosgriff (1965),WAM,62.1.44,WAM 62.1.44,Holotype,Australia,Australia,Valid,
145,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,Derwentiinae,Rhytidosteidae,Deltasaurus,pustulatus,Deltasaurus pustulatus,Cosgriff,1965,Cosgriff (1965),BMR,F.21775,BMR PG/588,Holotype,Australia,Australia,Valid,
146,Temnospondyli,N,N,N,N/A,N/A,N/A,Dendrerpetidae,N/A,Dendrerpetidae,Dendrerpeton,acadianum,Dendrerpeton acadianum,Owen,1853,Owen (1853),NHMUK,R.4158,NHMUK R.4158,Lectotype,UK,Canada,Valid,
147,Temnospondyli,N,N,N,N/A,N/A,N/A,Dendrerpetidae,N/A,Dendrerpetidae,Dendrerpeton,confusum,Dendrerpeton confusum,Milner,1996,Milner (1996),RM,2.1185,RM 2.1185,Holotype,Canada,Canada,Valid,"part/counterpart, with counterpart at NHMUK (UK)"
148,Temnospondyli,N,N,N,N/A,N/A,N/A,N/A,N/A,Temnospondyli,Dendrerpeton,foveolatum,Dendrerpeton foveolatum,Frič,1885b,Frič (1885b),NMP,526,NMP 526,Lectotype,Czech Republic,Czech Republic,Nomen dubium,
149,Temnospondyli,N,N,N,N/A,N/A,N/A,Dendrerpetidae,N/A,Dendrerpetidae,Dendrerpeton,helogenes,Dendrerpeton helogenes,Steen,1934,Steen (1934),RM,2.1188,RM 2.1188,Holotype,Canada,Canada,Valid,
150,Temnospondyli,N,N,N,N/A,N/A,N/A,Dendrerpetidae,N/A,Dendrerpetidae,Dendrerpeton,rugosum,Dendrerpeton rugosum,Huxley,1867,Huxley (1867),TCD,T84,TCD T84,Holotype,UK,UK,Valid,formerly NMING F14686
151,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Rhytidosteidae,Derwentiinae,Rhytidosteidae,Derwentia,warreni,Derwentia warreni,Cosgriff,1974,Cosgriff (1974),UTGD,87784,UTGD 87784,Holotype,Australia,Australia,Valid,
152,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,N/A,N/A,Stereospondyli,Diadetognathus,varvicensis,Diadetognathus varvicensis,Miall,1874,Miall (1874),WARMS,Gz.974,WARMS Gz.974,Lectotype,UK,UK,Nomen dubium,
153,Temnospondyli,Rhachitomi,Trematosauria,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Dictyocephalus,elegans,Dictyocephalus elegans,Leidy,1856,Leidy (1856),AMNH,FARB 5661,AMNH FARB 4895,Holotype,USA,USA,Nomen dubium,
154,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Diploseira,angusta,Diploseira angusta,Carroll,1964,Carroll (1964),MCZ,1695,MCZ 1695,Holotype,USA,USA,Valid,
155,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Dissorophus,multicinctus,Dissorophus multicinctus,Cope,1895,Cope (1895),AMNH,FARB 4593,AMNH FARB 4590,Holotype,USA,USA,Valid,
156,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Doleserpeton,annectens,Doleserpeton annectens,Bolt,1969,Bolt (1969),FMNH,1308,FMNH 321/9/1,Holotype,USA,USA,Valid,
157,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Trematosauria,Trematosauroidea,N/A,Metoposauridae,N/A,Metoposauridae,Dutuitosaurus,ouazzoui,Dutuitosaurus ouazzoui,Dutuit,1976,Dutuit (1976),MNHN,XIII/18/66,MNHN XIII/18/66,Lectotype,France,Morocco,Valid,
158,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Dvinosauridae,N/A,Dvinosauridae,Dvinosaurus,campbelli,Dvinosaurus campbelli,Gubin,2004,Gubin (2004),PIN,4818/426,PIN 4818/426,Holotype,Russia,Russia,Valid,
159,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Dvinosauridae,N/A,Dvinosauridae,Dvinosaurus,egregius,Dvinosaurus egregius,Shishkin,1968,Shishkin (1968),PIN,1100/23,PIN 1100/23,Holotype,Russia,Russia,Valid,
160,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Dvinosauridae,N/A,Dvinosauridae,Dvinosaurus,gubini,Dvinosaurus gubini,"Uliakhin, Novikov",2024,"Uliakhin, Novikov (2024)",PIN,5388/445,PIN 5388/445,Holotype,Russia,Russia,Valid,
161,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Dvinosauridae,N/A,Dvinosauridae,Dvinosaurus,primus,Dvinosaurus primus,Amalitzky,1921,Amalitzky (1921),PIN,2005/39,PIN 2005/39,Lectotype,Russia,Russia,Valid,formerly Am/39
162,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Dvinosauridae,N/A,Dvinosauridae,Dvinosaurus,purlensis,Dvinosaurus purlensis,Shishkin,1968,Shishkin (1968),PIN,1538/18,PIN 1538/18,Holotype,Russia,Russia,Valid,
163,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Trematopidae,N/A,Trematopidae,Ecolsonia,cutlerensis,Ecolsonia cutlerensis,Vaughn,1969b,Vaughn (1969b),UCLA,VP 1734,UCLA VP 1734,Holotype,USA,USA,Valid,
164,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Edingerella,madagascariensis,Edingerella madagascariensis,Lehman,1961,Lehman (1961),MNHN,MAE.3003,MNHN MAE.3003,Holotype,France,Madagascar,Valid,
165,Temnospondyli,Rhachitomi,N,N,N/A,Edopoidea,N/A,Edopidae,N/A,Edopidae,Edops,craigi,Edops craigi,Romer,1936,Romer (1936),FMNH,UR 336,FMNH UR 279,Syntype*,USA,USA,Valid,second syntype is MCZ 1201
166,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Eimerisaurus,graumanni,Eimerisaurus graumanni,Boy,1980,Boy (1980),PIM,N 892,PIM-N 892,Holotype,Germany,Germany,Valid,
167,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,N/A,Micromelerpetidae,N/A,Micromelerpetidae,Eimerisaurus,guembeli,Eimerisaurus guembeli,Reis,1913,Reis (1913),NHMM,PW 2001,NHMM PW 2001,Holotype,Germany,Germany,Valid,
168,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Heylerosaurinae,Cyclotosauridae,Eocyclotosaurus,appetolatus,Eocyclotosaurus appetolatus,"Rinehart, Lucas, Schoch",2015,"Rinehart, Lucas, Schoch (2015)",NMMNH,P-64166,NMMNH P-64166,Holotype,USA,USA,Valid,
169,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Heylerosaurinae,Cyclotosauridae,Eocyclotosaurus,lehmani,Eocyclotosaurus lehmani,Heyler,1969,Heyler (1969),MNHN,uncatalogued,MNHN uncatalogued,Holotype,France,France,Valid,
170,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Heylerosaurinae,Capitosauroidea,Eocyclotosaurus,papilio,Eocyclotosaurus papilio,Wepfer,1923b,Wepfer (1923b),GIF?,uncatalogued,GIF? 1,Holotype,Germany,Germany,Valid,
171,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Heylerosaurinae,Cyclotosauridae,Eocyclotosaurus,wellesi,Eocyclotosaurus wellesi,Schoch,2000,Schoch (2000),UCMP,42841,UCMP 42841,Holotype,USA,USA,Valid,
172,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,Cyclotosauridae,Heylerosaurinae,Cyclotosauridae,Eocyclotosaurus,woschmidti,Eocyclotosaurus woschmidti,Ortlam,1970,Ortlam (1970),SMNS,51562,SMNS 51562,Holotype,Germany,Germany,Valid,
173,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,N/A,N/A,N/A,Lydekkerinidae,N/A,Lydekkerinidae,Eolydekkerina,magna,Eolydekkerina magna,"Shishkin, Rubidge, Kitching",1996,"Shishkin, Rubidge, Kitching (1996)",BP,1/0579,BP/1/F981,Holotype,South Africa,South Africa,Valid,
174,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,N/A,N/A,Amphibamiformes,Eoscopus,lockardi,Eoscopus lockardi,Daly,1994,Daly (1994),KUVP,80408,KUVP 80408,Holotype,USA,USA,Valid,
175,Temnospondyli,Rhachitomi,N,N,Dvinosauria,N/A,N/A,Trimerorhachidae,N/A,Trimerorhachidae,Erpetosaurus,radiatus,Erpetosaurus radiatus,Cope,1874,Cope (1874),AMNH,FARB 6922,AMNH FARB 6919,Holotype,USA,USA,Valid,
176,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,grandis,Eryops grandis,Marsh,1878,Marsh (1878),MCZ,2731,MCZ 2731,Holotype,USA,USA,Valid,formerly YPM
