Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade4,Superfamily,Clade5,Family,Subfamily,LowestClade,Taxon,Genus,Species,Institution,Number,Specimen,Length_mm,Epoch_lower,Epoch_upper,Reference,Geography,Notes
220,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,FG,321/10/5,FG 321/10/5,9,Cisuralian,Cisuralian,Werneburg (2021:fig. 30b),Germany,"only isolated element shown, unclear how confident length is"
221,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,FG,SRW 1,FG SRW 1,8,Cisuralian,Cisuralian,Werneburg (2021:fig. 31a),Germany,"only isolated element shown, unclear how confident length is"
222,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,FG,SRW 25,FG SRW 25,9,Cisuralian,Cisuralian,Werneburg (2021:fig. 32j),Germany,"only isolated element shown, unclear how confident length is"
223,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,FG,SRW 3,FG SRW 3,8,Cisuralian,Cisuralian,Werneburg (2021:fig. 31i),Germany,"only isolated element shown, unclear how confident length is"
224,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,MNG,5804-14,MNG 5804-14,7,Cisuralian,Cisuralian,Werneburg (2021:fig. 31h),Germany,"only isolated element shown, unclear how confident length is"
225,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,MNG,5804-7,MNG 5804-7,6.5,Cisuralian,Cisuralian,Werneburg (2021:fig. 30a),Germany,"only isolated element shown, unclear how confident length is"
226,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,MNG,5832,MNG 5832,7.5,Cisuralian,Cisuralian,Werneburg (2021:fig. 30s),Germany,"only isolated element shown, unclear how confident length is"
227,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,MNG,5834,MNG 5834,7,Cisuralian,Cisuralian,Werneburg (2021:fig. 30r),Germany,"only isolated element shown, unclear how confident length is"
228,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,MNG,5835,MNG 5835,8,Cisuralian,Cisuralian,Werneburg (2021:fig. 31b),Germany,"only isolated element shown, unclear how confident length is"
229,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,MNG,5839,MNG 5839,7,Cisuralian,Cisuralian,Werneburg (2021:fig. 32i),Germany,"only isolated element shown, unclear how confident length is"
230,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,MNHNP-Aut.,425 72771/2,MNHNP-Aut. 425 72771/2,8.7,Cisuralian,Cisuralian,Werneburg (2021:12),Germany,unclear how this isn't a duplicate; type designations do not align with Schoch & Milner (2014)
231,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,MNHNP-Aut.,425 72771/2,MNHNP-Aut. 425 72771/2,11.2,Cisuralian,Cisuralian,Werneburg (2021:12),Germany,unclear how this isn't a duplicate; type designations do not align with Schoch & Milner (2014)
232,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 10891,NHMS WP 10891,16,Cisuralian,Cisuralian,Werneburg (2021:fig. 9),Germany,given as range of 16 to 18
233,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 10896,NHMS WP 10896,6,Cisuralian,Cisuralian,Werneburg (2021:fig. 32a),Germany,"only isolated element shown, unclear how confident length is"
234,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 10909a,NHMS WP 10909a,12,Cisuralian,Cisuralian,Werneburg (2021:fig. 32e),Germany,"only isolated element shown, unclear how confident length is"
235,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 10920a,NHMS WP 10920a,8,Cisuralian,Cisuralian,Werneburg (2021:fig. 30k),Germany,"only isolated element shown, unclear how confident length is"
236,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 10938a,NHMS WP 10938a,14,Cisuralian,Cisuralian,Werneburg (2021:fig. 7),Germany,given as range of 14 to 15
237,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11011a,NHMS WP 11011a,14,Cisuralian,Cisuralian,Werneburg (2021:fig. 7),Germany,given as range of 14 to 15
238,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11059,NHMS WP 11059,12,Cisuralian,Cisuralian,Werneburg (2021:fig. 30c),Germany,"only isolated element shown, unclear how confident length is"
239,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11072a,NHMS WP 11072a,11,Cisuralian,Cisuralian,Werneburg (2021:fig. 32m),Germany,"only isolated element shown, unclear how confident length is"
240,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11074,NHMS WP 11074,12,Cisuralian,Cisuralian,Werneburg (2021:fig. 5),Germany,given as range of 12 to 14
241,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11094a,NHMS WP 11094a,10,Cisuralian,Cisuralian,Werneburg (2021:fig. 4),Germany,given as range of 10 to 13
242,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11108a,NHMS WP 11108a,12,Cisuralian,Cisuralian,Werneburg (2021:fig. 5),Germany,given as range of 12 to 14
243,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11179,NHMS WP 11179,15,Cisuralian,Cisuralian,Werneburg (2021:fig. 32h),Germany,"only isolated element shown, unclear how confident length is"
244,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11198a,NHMS WP 11198a,15,Cisuralian,Cisuralian,Werneburg (2021:fig. 8),Germany,given as range of 15 to 16
245,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11203,NHMS WP 11203,17,Cisuralian,Cisuralian,Werneburg (2021:fig. 30h),Germany,"only isolated element shown, unclear how confident length is"
246,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11206a,NHMS WP 11206a,16,Cisuralian,Cisuralian,Werneburg (2021:fig. 9),Germany,given as range of 16 to 18
247,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11357a,NHMS WP 11357a,10,Cisuralian,Cisuralian,Werneburg (2021:fig. 4),Germany,given as range of 10 to 13
248,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11403,NHMS WP 11403,10,Cisuralian,Cisuralian,Werneburg (2021:fig. 31k),Germany,"only isolated element shown, unclear how confident length is; given as range of 10 to 11"
249,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11405,NHMS WP 11405,16,Cisuralian,Cisuralian,Werneburg (2021:fig. 9),Germany,given as range of 16 to 18
250,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11425,NHMS WP 11425,14,Cisuralian,Cisuralian,Werneburg (2021:fig. 6),Germany,
251,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11426a,NHMS WP 11426a,18,Cisuralian,Cisuralian,Werneburg (2021:fig. 10),Germany,
252,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11649,NHMS WP 11649,18.2,Cisuralian,Cisuralian,Werneburg (2021:fig. 12),Germany,
253,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11652,NHMS WP 11652,12,Cisuralian,Cisuralian,Werneburg (2021:fig. 5),Germany,given as range of 12 to 14
254,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 11653,NHMS WP 11653,8.5,Cisuralian,Cisuralian,Werneburg (2021:fig. 32g),Germany,"only isolated element shown, unclear how confident length is; sublettering refers to second set of letters in caption"
255,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 1278,NHMS WP 1278,9,Cisuralian,Cisuralian,Werneburg (2021:fig. 32h),Germany,"only isolated element shown, unclear how confident length is; sublettering refers to second set of letters in caption"
256,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 1284/1,NHMS WP 1284/1,7,Cisuralian,Cisuralian,Werneburg (2021:fig. 30j),Germany,"only isolated element shown, unclear how confident length is"
257,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 2219,NHMS WP 2219,14.8,Cisuralian,Cisuralian,Werneburg (2021:fig. 30m),Germany,"only isolated element shown, unclear how confident length is"
258,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 2220a,NHMS WP 2220a,15,Cisuralian,Cisuralian,Werneburg (2021:fig. 30e),Germany,"only isolated element shown, unclear how confident length is"
259,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 2230,NHMS WP 2230,12.5,Cisuralian,Cisuralian,Werneburg (2021:fig. 29c),Germany,
260,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 2287,NHMS WP 2287,13,Cisuralian,Cisuralian,Werneburg (2021:fig. 32n),Germany,"only isolated element shown, unclear how confident length is"
261,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 2306,NHMS WP 2306,7,Cisuralian,Cisuralian,Werneburg (2021:fig. 30p),Germany,"only isolated element shown, unclear how confident length is"
262,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 2444,NHMS WP 2444,6,Cisuralian,Cisuralian,Werneburg (2021:fig. 32b),Germany,"only isolated element shown, unclear how confident length is"
263,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 2446,NHMS WP 2446,14,Cisuralian,Cisuralian,Werneburg (2021:fig. 30d),Germany,"only isolated element shown, unclear how confident length is"
264,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 3203,NHMS WP 3203,6,Cisuralian,Cisuralian,Werneburg (2021:fig. 32f),Germany,"only isolated element shown, unclear how confident length is; sublettering refers to second set of letters in caption"
265,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 3516,NHMS WP 3516,10,Cisuralian,Cisuralian,Werneburg (2021:fig. 30q),Germany,"only isolated element shown, unclear how confident length is"
266,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 3599a,NHMS WP 3599a,18.3,Cisuralian,Cisuralian,Werneburg (2021:fig. 13),Germany,
267,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 3740,NHMS WP 3740,15,Cisuralian,Cisuralian,Werneburg (2021:fig. 8),Germany,given as range of 15 to 16
268,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 4797a,NHMS WP 4797a,7.5,Cisuralian,Cisuralian,Werneburg & Brauner (2014:65),Germany,
269,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 5042a,NHMS WP 5042a,14,Cisuralian,Cisuralian,Werneburg (2021:fig. 7),Germany,given as range of 14 to 15
270,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 6020,NHMS WP 6020,10,Cisuralian,Cisuralian,Werneburg (2021:fig. 4),Germany,given as range of 10 to 13
271,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 6094,NHMS WP 6094,2.7,Cisuralian,Cisuralian,Werneburg (2018:28),Germany,given as range of 2.7 to 2.8
272,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 6147a,NHMS WP 6147a,1.8,Cisuralian,Cisuralian,Werneburg (2018:26),Germany,given as range of 1.8 to 1.9
273,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 7784,NHMS WP 7784,1.8,Cisuralian,Cisuralian,Werneburg (2018:26),Germany,given as range of 1.8 to 1.9
274,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon dracyiensis,Apateon,dracyiensis,NHMS,WP 8671a,NHMS WP 8671a,12.5,Cisuralian,Cisuralian,Werneburg (2021:fig. 31d),Germany,"only isolated element shown, unclear how confident length is"
275,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,NHMS,WP 10091,NHMS WP 10091,3.3,Cisuralian,Cisuralian,Werneburg (2018:31),Germany,
276,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,NHMS,WP 10617,NHMS WP 10617,2.3,Cisuralian,Cisuralian,Werneburg (2018:31),Germany,given as range of 2.3 to 2.4
277,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,NHMS,WP 2168,NHMS WP 2168,9.2,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
278,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,NHMS,WP 2169,NHMS WP 2169,7.3,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
279,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,NHMS,WP 2174,NHMS WP 2174,9.6,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
280,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,NHMS,WP 2175,NHMS WP 2175,9.5,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
281,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,NHMS,WP 2183/1,NHMS WP 2183/1,7.6,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
282,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,NHMS,WP 2188/2,NHMS WP 2188/2,8.1,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
283,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,NHMS,WP 2189/1,NHMS WP 2189/1,6.8,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
284,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,NHMS,WP 2268,NHMS WP 2268,9.7,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
285,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,NHMS,WP 9435,NHMS WP 9435,3.4,Cisuralian,Cisuralian,Werneburg (2018:31),Germany,
286,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,SWC,T22n,SWC-T22n,7.7,Cisuralian,Cisuralian,Werneburg (2024:158),Germany,
287,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,UM,1,UM-1,6.5,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
288,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,UM,11/1,UM-11/1,6.2,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
289,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,UM,112/,UM-112/,9.5,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
290,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,UM,14/2,UM-14/2,7.8,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
291,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,UM,32,UM-32,9,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
292,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,UM,42/2,UM-42/2,11.7,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
293,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,UM,7,UM-7,8.7,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
294,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon flagrifer,Apateon,flagrifer,UM,99/1,UM-99/1,7.9,Cisuralian,Cisuralian,Werneburg et al. (2007:table 1),Italy,
295,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,FG,321/9/1,FG 321/9/1,16,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
296,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,FG,321/9/2,FG 321/9/2,9.3,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
297,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,FG,321/9/5,FG 321/9/5,8,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
298,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,FG,321/9/6,FG 321/9/6,8.3,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
299,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,GMH,41,GMH 41,6.1,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
300,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,GMH,43,GMH 43,9,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
301,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,MNG,2992-10,MNG 2992-10,21,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
302,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,MNG,2992-14,MNG 2992-14,7.9,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
303,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,MNG,2992-2 u. 5331-13,MNG 2992-2 u. 5331-13,27,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
304,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,MNG,5331-133 + 112,MNG 5331-133 + 112,7.8,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
305,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,MNG,5331-139,MNG 5331-139,6.7,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
306,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Branchiosauridae,Apateoninae,Branchiosauridae,Apateon kontheri,Apateon,kontheri,MNG,5331-158,MNG 5331-158,7,Cisuralian,Cisuralian,Werneburg (1988b:table 1),Germany,
