Index,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Clade4,Superfamily,Clade5,Family,Subfamily,LowestClade,Genus,Species,Taxon,Institution,Number,Specimen,Includes,Status,Geography,Assemblage.Zone,Group,Horizon,Formation,Epoch_lower,Epoch_upper,Site.name,Site.code,References,Notes
35,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 23449,AMNH FARB 23449,left fibula,referred,USA,N/A,Wichita Group,N/A,Nocona Formation,Cisuralian,Cisuralian,"vicinity of North Fork of the Little Wichita River, precise locality uncertain",,Pawley & Warren (2006),
36,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 23529,AMNH FARB 23529,partial skull,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Witzmann & Werneburg (2017),
37,Temnospondyli,Rhachitomi,N,N,Eryopiformes,Eryopoidea,N/A,Eryopidae,Eryopinae,Eryopidae,Eryops,megacephalus,Eryops megacephalus,AMNH,FARB 23565,AMNH FARB 23565,intercentrum/a,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Carter et al. (2021),
38,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Dissorophinae,Dissorophidae,Dissorophus,multicinctus,Dissorophus multicinctus,AMNH,FARB 23780,AMNH FARB 23780,unspecified,referred,unspecified,N/A,unspecified,N/A,unspecified,unspecified,unspecified,unspecified,,Schoch (2012),
39,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Antarctosuchus,polyodon,Antarctosuchus polyodon,AMNH,FARB 24411,AMNH FARB 24411,nearly complete skull,holotype,Antarctica,N/A,Victoria Group,N/A,Fremouw Formation,Middle Triassic,Middle Triassic,Gordon Valley,,Sidor et al. (2014),
40,Temnospondyli,Rhachitomi,Stereospondylomorpha,Stereospondyli,Capitosauria,Capitosauroidea,N/A,N/A,N/A,Capitosauroidea,Kryostega,collinsoni,Kryostega collinsoni,AMNH,FARB 24419,AMNH FARB 24419,cranial fragment,holotype,Antarctica,N/A,Victoria Group,N/A,Fremouw Formation,Middle Triassic,Middle Triassic,Gordon Valley,,Sidor et al. (2008),
41,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Olsoniformes,Dissorophidae,Cacopinae,Dissorophidae,Parioxys,ferricolus,Parioxys ferricolus,AMNH,FARB 2445,AMNH FARB 2445,partial skull,referred,USA,N/A,Wichita Group,N/A,Petrolia Formation,Cisuralian,Cisuralian,near Mt. Barry,,Moustafa (1955b); Schoch & Sues (2022),
42,Temnospondyli,Rhachitomi,N,N,Dvinosauria,Dvinosauroidea,N/A,Eobrachyopoidae,N/A,Eobrachyopoidae,Isodectes,obtusus,Isodectes obtusus,AMNH,FARB 2455,AMNH FARB 2455,partial skull,referred,USA,N/A,N/A,N/A,Clear Fork Formation?,Cisuralian,Cisuralian,unknown,,Sequeira (1998),holotype of 'Eobrachyops townendae'; locality considered to be probably from Texas
43,Temnospondyli,Rhachitomi,N,N,N/A,Dissorophoidea,Amphibamiformes,Amphibamidae,N/A,Amphibamidae,Platyrhinops,lyelli,Platyrhinops lyelli,AMNH,FARB 2556,AMNH FARB 2556,partial skull,referred,USA,N/A,Allegheny Group,N/A,Upper Freeport Coal,Middle Pennsylvanian,Middle Pennsylvanian,Linton (Diamond Coal Mine),,Clack & Milner (2009),holotype of 'Tuditanus mordax'
44,Temnospondyli,N,N,N,N/A,Edopoidea,N/A,Cochleosauridae,N/A,Cochleosauridae,Adamanterpeton,ohioensis,Adamanterpeton ohioensis,AMNH,FARB 2933,AMNH FARB 2933,"partial skull, partial right mandible",holotype,USA,N/A,Allegheny Group,N/A,Upper Freeport Coal,Middle Pennsylvanian,Middle Pennsylvanian,Linton (Diamond Coal Mine),,Milner & Sequeira (1998),
